outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent,task,task_order
death,3,xgboost,0.02993234497,0.03722480378,0.08086251307,0.05177203091,0.0197398018,0.9873320588,0.9933538554,0.02228924659,0.03722480378,0.04469486077,0.05449576571,0.03376902846,-7.092360176,0.5439088519,9,5,0.03078958334,0.1637484434,0.02784183079,Death 3 y,4
death,3,pooled_ridge,0.03078958334,0.03769091863,0.06196399772,0.05251957177,0.02150520376,0.9931469896,0.9917544627,0.02347303189,0.03769091863,0.04295530051,0.06757643931,0.0368911226,-8.130405072,0.5533742331,3,6,0.03078958334,0.1397988691,0,Death 3 y,4
death,3,logtrend10,0.03318861288,0.04052889233,0.06657856558,0.05641131636,0.02192647085,0.9921854322,0.9894601487,0.02490677752,0.04052889233,0.04583637077,0.06357247709,0.04099517962,-9.095152379,0.5775635408,2,7,0.03078958334,0.07277464521,-0.07791692136,Death 3 y,4
death,3,logtrend5,0.03495653141,0.0434337803,0.0734862503,0.06046980931,0.02374001669,0.990489629,0.9897755707,0.0264390103,0.0434337803,0.0496250716,0.06617925254,0.04348711159,-9.323492957,0.4243645925,1,8,0.03078958334,0.02338243668,-0.1353362931,Death 3 y,4
death,3,persistence,0.03579346996,0.0469637615,0.06970340089,0.06543137023,0.0300026638,0.991338143,0.9909265377,0.02883082957,0.0469637615,0.05192413217,0.07853494581,0.04640874328,-5.726128345,0.6161262051,0,9,0.03078958334,0,-0.1625188157,Death 3 y,4
death,3,ridge,0.06936437334,0.1078598357,0.2267683655,0.1501975776,0.06564851273,0.907583723,0.9709085556,0.05633608718,0.1078598357,0.1139723908,0.1742239027,0.1071508653,-117.3742705,0.4990359334,4,10,0.03078958334,-0.9379058086,-1.252851966,Death 3 y,4
death,3,elastic_net,0.06955422273,0.1071428025,0.2122691236,0.1491668626,0.06839172541,0.9201072272,0.9712460294,0.05608456471,0.1071428025,0.1124824112,0.1654289844,0.1064439918,-115.4599184,0.5463628396,5,11,0.03078958334,-0.9432098315,-1.259017992,Death 3 y,4
death,5,extra_trees,0.03208069486,0.03899973516,0.06246947236,0.05430414966,0.02257879147,0.9930902467,0.9906278566,0.02414220834,0.03899973516,0.04387195261,0.06328605477,0.03707597394,-7.971928451,0.6070113935,7,1,0.0456389973,0.4133378615,0.2970771322,Death 5 y,5
death,5,gru,0.03376229208,0.04224343001,0.06999039944,0.05877974772,0.02491311696,0.9913688076,0.9905596229,0.02666788067,0.04224343001,0.04932655702,0.0693895322,0.04018925056,-10.50877151,0.4948290973,10,2,0.0456389973,0.3825863636,0.2602315108,Death 5 y,5
death,5,xgboost,0.03578022497,0.04520300951,0.07173919355,0.06293183993,0.02717211984,0.9909438178,0.9887662665,0.02780021821,0.04520300951,0.05132818052,0.07231434818,0.0425482406,-10.17152521,0.5197195443,9,3,0.0456389973,0.3456842695,0.2160164095,Death 5 y,5
death,5,random_forest,0.03588127486,0.04541246106,0.07322676996,0.06323218799,0.02652863297,0.9904419438,0.9882907089,0.02763725956,0.04541246106,0.05111205717,0.07225880627,0.04316032409,-10.49394735,0.5495179667,6,4,0.0456389973,0.3438363623,0.2138022966,Death 5 y,5
death,5,hist_gradient_boosting,0.03610316316,0.04712065576,0.08276302878,0.06554645315,0.02497753531,0.9877408206,0.9886998801,0.02834387838,0.04712065576,0.05459619541,0.07086440666,0.04347082006,-11.06434858,0.5148115688,8,5,0.0456389973,0.3397786739,0.208940483,Death 5 y,5
death,5,pooled_ridge,0.0456389973,0.05660881159,0.08960392108,0.07876675129,0.03214801921,0.9858757715,0.9831610606,0.03444466784,0.05660881159,0.06252115998,0.105440032,0.05721055513,-23.28190278,0.5099035933,3,6,0.0456389973,0.1653961403,0,Death 5 y,5
death,5,logtrend10,0.05037285635,0.06287161862,0.09997706662,0.087463224,0.03527856273,0.9824068697,0.9764649242,0.03790017567,0.06287161862,0.06978856098,0.1004362675,0.06430913663,-23.97004104,0.4934268186,2,7,0.0456389973,0.07882769515,-0.1037239933,Death 5 y,5
death,5,persistence,0.05468342468,0.07337410822,0.1046911435,0.1021513582,0.0492874211,0.9806938026,0.9821420582,0.04428439378,0.07337410822,0.07870613423,0.1233677501,0.07377601853,-17.86956236,0.5460122699,0,8,0.0456389973,0,-0.1981732272,Death 5 y,5
death,5,logtrend5,0.05692535686,0.06915403911,0.1109691123,0.09611321514,0.03945098101,0.978269905,0.971523236,0.04277843172,0.06915403911,0.07872522322,0.1083060995,0.067542878,-27.49986042,0.316739702,1,9,0.0456389973,-0.0409983864,-0.2472963962,Death 5 y,5
death,5,elastic_net,0.07714079845,0.1209527071,0.2573726158,0.1685181827,0.0768101163,0.8755263405,0.9640019454,0.06161423044,0.1209527071,0.1277479182,0.1802814324,0.1191957488,-126.5554726,0.5225241017,5,10,0.0456389973,-0.4106797243,-0.6902386779,Death 5 y,5
death,5,ridge,0.07765584823,0.1198602571,0.2342119693,0.1668508659,0.07789879189,0.9019199181,0.9614921931,0.06283946522,0.1198602571,0.1250318279,0.1904168115,0.121194887,-125.0335186,0.5628396144,4,11,0.0456389973,-0.4200984792,-0.7015239778,Death 5 y,5
