location_id,location_name,year,bmi_daly_rate,bmi_daly_rate_lower,bmi_daly_rate_upper,bmi_death_rate,bmi_death_rate_lower,bmi_death_rate_upper,gbd_daly_fraction,gbd_daly_fraction_lower,gbd_daly_fraction_upper,gbd_death_fraction,gbd_death_fraction_lower,gbd_death_fraction_upper,overall_daly_rate,overall_daly_rate_lower,overall_daly_rate_upper,overall_death_rate,overall_death_rate_lower,overall_death_rate_upper,sdi,sdi_lower,sdi_upper,asr_ratio_daly,asr_ratio_death,daly_fraction_definition_gap_pp,death_fraction_definition_gap_pp,bmi_daly_rate_rel_ui_width,bmi_death_rate_rel_ui_width,gbd_daly_fraction_rel_ui_width,gbd_death_fraction_rel_ui_width,overall_daly_rate_rel_ui_width,overall_death_rate_rel_ui_width,sdi_rel_ui_width,sdi_quintile_2023
51,Poland,2023,8.121422811,3.70651508,12.72464131,0.3289354921,0.1509577408,0.5169564853,0.204301428,0.09763007765,0.3101882519,0.2044905408,0.09815624107,0.3109337511,39.71266922,35.95654272,44.17095161,1.607203773,1.457574328,1.783560435,0.847008286,0.847008286,0.847008286,0.2045045818,0.2046632154,-0.02031537908,-0.01726746099,1.110412109,1.112676355,1.04041453,1.040524951,0.2068460533,0.2028281118,0,Q5
52,Romania,2023,10.61324865,4.236357398,17.97080803,0.4090848123,0.1647195901,0.6824410076,0.1427001304,0.06126085265,0.234523024,0.1384896051,0.05943807841,0.2266760273,74.35989599,67.03757265,83.67789357,2.953768242,2.669903859,3.32120145,0.768756849,0.768756849,0.768756849,0.1427281266,0.1384959072,-0.002799612516,-0.0006302128172,1.294085449,1.265560104,1.214169677,1.207584849,0.2237808525,0.2204971877,0,Q4
53,Serbia,2023,24.34133431,10.01394969,42.76826863,1.049182843,0.4295270069,1.858099823,0.1891614764,0.0790176922,0.326268541,0.1855381624,0.0766848881,0.3226200353,128.3888463,109.393297,152.5223974,5.642585046,4.797490828,6.582632015,0.784525117,0.784525117,0.784525117,0.1895907239,0.1859401028,-0.04292475109,-0.04019403828,1.34562545,1.361605201,1.307088809,1.325523246,0.3359256012,0.3163693896,0,Q4
54,Slovakia,2023,13.84527008,6.900427453,22.06237614,0.5731085045,0.2777212608,0.9248014695,0.1801923596,0.08739403514,0.2735203518,0.1802057746,0.08776038373,0.2781304797,76.88881201,67.26776541,88.57029943,3.181622771,2.808710149,3.643671202,0.813141722,0.813141722,0.813141722,0.1800687215,0.1801308784,0.01236381037,0.007489619009,1.095099525,1.129071029,1.032931236,1.056403972,0.2770563553,0.2624324481,0,Q4
55,Slovenia,2023,21.72238368,9.938820311,34.20013227,0.9483297216,0.4285928524,1.490802451,0.1990056582,0.09346554845,0.3123215316,0.1956114716,0.09206547306,0.3076475305,109.223314,94.95066481,122.4897934,4.850050592,4.209926472,5.506832146,0.844865839,0.844865839,0.844865839,0.1988804669,0.1955298617,0.01251912561,0.008160987393,1.11688074,1.120084686,1.099747541,1.102093122,0.2521359921,0.2674004425,0,Q5
57,Belarus,2023,15.7426276,7.297923436,25.75100309,0.5834443799,0.268452622,0.9486558697,0.1927997473,0.09442548738,0.3077205897,0.1946677664,0.09329714155,0.3136741698,81.52567929,72.6296077,92.4722553,2.993000812,2.66408194,3.358014964,0.803625792,0.803625792,0.803625792,0.1931002322,0.1949362585,-0.0300484927,-0.02684920707,1.172172786,1.165840774,1.106303848,1.13206738,0.2433913802,0.2318519333,0,Q4
58,Estonia,2023,18.63131842,8.87625124,28.63883351,0.7541160196,0.3565955929,1.163946805,0.1902047377,0.08863818798,0.2937231905,0.1900357828,0.08936700868,0.2931941629,98.14268859,84.69405406,114.0961985,3.975108645,3.409217747,4.63392824,0.854860197,0.854860197,0.854860197,0.1898390872,0.1897095368,0.03656504951,0.03262460776,1.0607184,1.070592842,1.078232882,1.072572498,0.2995856838,0.3080948478,0,Q5
59,Latvia,2023,17.23415084,7.690249948,27.68232711,0.6679609817,0.2983786577,1.072097551,0.1864829188,0.08873699558,0.296250898,0.1909658479,0.09085629792,0.3011996025,92.26854851,80.79147552,105.9786888,3.49179038,3.067366426,4.016601262,0.8508436,0.8508436,0.8508436,0.1867825073,0.1912946967,-0.02995885664,-0.03288488129,1.160026818,1.158329475,1.112776997,1.101470796,0.2729772356,0.2718476004,0,Q5
60,Lithuania,2023,17.2120181,8.179978165,26.85727021,0.6597322986,0.3117888596,1.044596415,0.1776518986,0.08510414854,0.2818568183,0.1794816959,0.08516489402,0.2861613401,96.95368421,90.37793146,103.436762,3.677262437,3.41668789,3.944738823,0.856187639,0.856187639,0.856187639,0.1775282521,0.1794085437,0.01236464792,0.007315219766,1.085130863,1.110765014,1.107517968,1.119871556,0.1346914312,0.1435989251,0,Q5
61,Republic of Moldova,2023,13.42092063,5.524079875,23.10207091,0.4980859942,0.20397035,0.8660870255,0.1699679139,0.07493030249,0.2803981341,0.1795590863,0.07823507647,0.3007851643,78.71122849,68.86620972,88.9525053,2.765583527,2.410362755,3.115287852,0.733718614,0.733718614,0.733718614,0.1705083365,0.1801015914,-0.05404225779,-0.05425050731,1.309745547,1.329322011,1.208862466,1.239425375,0.2551897101,0.2548919931,0,Q4
