outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
daly,5,logtrend10,cv3,326,0.122219136589,1.7554736934,2.75086279253,0.0851834898823,1.02272876324,0.984742847013,0.978439197995
daly,5,logtrend5,cv1,326,0.178069710768,1.78619721874,2.89084237919,0.0909645185896,0.982033173725,0.982731283932,0.960279342428
daly,5,logtrend5,cv2,326,0.146542321246,2.04530107771,3.21961388358,0.101641287639,1.1345493606,0.979301784138,0.970555264514
daly,5,logtrend5,cv3,326,0.133843607473,1.95529194907,3.31265960924,0.0948795715861,1.08896228314,0.977874694933,0.977632170272
daly,5,persistence,cv1,326,0.151138782594,2.1147213962,3.05904795739,0.107695058383,1.33639638786,0.980663236103,0.982416493846
daly,5,persistence,cv2,326,0.151165663768,2.14324756884,3.19414365663,0.106508740937,1.27399888085,0.979627974167,0.980299518121
daly,5,persistence,cv3,326,0.139076563146,1.95815216661,2.84517191786,0.095018362223,1.29775135338,0.98367877809,0.984232825766
daly,5,pooled_ridge,cv1,326,0.113943473629,1.61918022924,2.69179082654,0.0824589516304,0.82128387,0.985027516579,0.982502738439
daly,5,pooled_ridge,cv2,326,0.1214318583,1.68015957267,2.92991527143,0.0834955715154,0.8203385799,0.982859027752,0.98223777011
daly,5,pooled_ridge,cv3,326,0.105546944217,1.53088380219,2.49378718454,0.0742853768556,0.7845721477,0.987461244896,0.98626113235
daly,5,random_forest,cv1,326,0.0932164151601,1.58550269856,3.1307000597,0.0807438776546,0.57527470875,0.979746776914,0.991309731525
daly,5,random_forest,cv2,326,0.100598435944,1.56335420736,2.86192906013,0.0776909259977,0.736601688445,0.983645282081,0.987655246763
daly,5,random_forest,cv3,326,0.0920619398179,1.40441849628,2.46716428248,0.0681487106405,0.73903438115,0.987727535606,0.988314723493
daly,5,ridge,cv1,326,0.284006843545,7.90165943408,36.6766527387,0.40240273523,2.39220893128,-1.77965316744,0.935217494837
daly,5,ridge,cv2,326,0.273544828723,6.47903258921,23.287039767,0.321975684753,2.74302543448,-0.0828140905521,0.921085850605
daly,5,ridge,cv3,326,0.262382483533,5.41047691731,14.1734738843,0.26254070766,2.5621255272,0.594969005554,0.919321126895
daly,5,xgboost,cv1,326,0.0884297716478,1.39898081779,2.62922634302,0.071244997625,0.65099267925,0.985715429945,0.990438626494
daly,5,xgboost,cv2,326,0.101076852511,1.52152706123,2.89937476437,0.0756123249363,0.7392987019,0.983214509442,0.98716479558
daly,5,xgboost,cv3,326,0.0875939137792,1.43381833278,3.03175557331,0.0695753231178,0.73511053927,0.981467926591,0.989920466206
death,1,elastic_net,cv1,326,0.0640775968243,0.0993525010856,0.203543102934,0.141707542217,0.054914466053,0.925709583214,0.978820890934
